Date,Open,High,Low,Close,Adj Close,Volume
2020-08-14,0.086577,0.086577,0.059597,0.065645,0.065645,118988161
2020-08-15,0.066077,0.069509,0.048985,0.050964,0.050964,36213441
2020-08-16,0.051438,0.069508,0.048064,0.060847,0.060847,33023213
2020-08-17,0.060847,0.065073,0.052525,0.053999,0.053999,11686493
2020-08-18,0.053784,0.060990,0.050675,0.051700,0.051700,7401293
2020-08-19,0.051690,0.057150,0.048098,0.052095,0.052095,7375433
2020-08-20,0.052095,0.057325,0.050800,0.053648,0.053648,7332475
2020-08-21,0.053644,0.053738,0.044235,0.044235,0.044235,5121097
2020-08-22,0.044395,0.049011,0.040692,0.046011,0.046011,4347394
2020-08-23,0.045990,0.048237,0.041965,0.044007,0.044007,3114426
2020-08-24,0.043902,0.053543,0.042178,0.051299,0.051299,7868186
2020-08-25,0.050895,0.056846,0.045769,0.048080,0.048080,5842509
2020-08-26,0.048080,0.058794,0.047125,0.058101,0.058101,8339238
2020-08-27,0.058322,0.075067,0.054466,0.073708,0.073708,34658386
2020-08-28,0.074216,0.082307,0.069223,0.069642,0.069642,25598530
2020-08-29,0.069658,0.074430,0.065899,0.072509,0.072509,11274342
2020-08-30,0.072883,0.073944,0.064741,0.066642,0.066642,9422027
2020-08-31,0.066913,0.078124,0.066913,0.070184,0.070184,13825613
2020-09-01,0.070168,0.070872,0.059587,0.059901,0.059901,14081069
2020-09-02,0.059742,0.060859,0.051136,0.059072,0.059072,10893388
2020-09-03,0.058932,0.059548,0.043842,0.044335,0.044335,5884472
2020-09-04,0.043963,0.047490,0.038952,0.045431,0.045431,5619298
2020-09-05,0.045298,0.047044,0.035231,0.037567,0.037567,4072606
2020-09-06,0.037562,0.042555,0.033405,0.040924,0.040924,4407990
2020-09-07,0.040926,0.041152,0.033636,0.037924,0.037924,2943076
2020-09-08,0.038580,0.058386,0.036971,0.049850,0.049850,23080884
2020-09-09,0.049886,0.056676,0.046424,0.048329,0.048329,16462247
2020-09-10,0.048329,0.053503,0.047253,0.049563,0.049563,8172980
2020-09-11,0.049552,0.054506,0.046386,0.051795,0.051795,8374072
2020-09-12,0.051780,0.051780,0.047686,0.049343,0.049343,3413061
2020-09-13,0.049377,0.049874,0.041749,0.043616,0.043616,5931320
2020-09-14,0.043518,0.047696,0.041374,0.046404,0.046404,6695832
2020-09-15,0.046404,0.050852,0.042186,0.042232,0.042232,8213086
2020-09-16,0.042322,0.050256,0.040562,0.044312,0.044312,6473697
2020-09-17,0.044342,0.046461,0.042495,0.043874,0.043874,3595836
2020-09-18,0.043890,0.047040,0.043024,0.043945,0.043945,4563156
2020-09-19,0.043951,0.048655,0.042631,0.047067,0.047067,5332779
2020-09-20,0.047102,0.047966,0.042441,0.043057,0.043057,3428977
2020-09-21,0.043057,0.044724,0.036755,0.038494,0.038494,4823375
2020-09-22,0.038487,0.044682,0.036447,0.044079,0.044079,5551600
2020-09-23,0.044002,0.049128,0.041464,0.042677,0.042677,21916994
2020-09-24,0.042753,0.050945,0.042518,0.047779,0.047779,24690400
2020-09-25,0.047856,0.049757,0.045743,0.048685,0.048685,18271594
2020-09-26,0.048697,0.048959,0.045662,0.046537,0.046537,6806559
2020-09-27,0.046547,0.046555,0.041347,0.042921,0.042921,13927961
2020-09-28,0.043036,0.044967,0.041617,0.041778,0.041778,10986207
2020-09-29,0.041771,0.043515,0.041436,0.043318,0.043318,6167681
2020-09-30,0.043500,0.047894,0.042236,0.046005,0.046005,12606091
2020-10-01,0.045988,0.046740,0.041555,0.042374,0.042374,7339954
2020-10-02,0.042417,0.043305,0.039609,0.040895,0.040895,7697316
2020-10-03,0.040896,0.047206,0.040845,0.045338,0.045338,8605313
2020-10-04,0.045326,0.048792,0.042487,0.048284,0.048284,9857103
2020-10-05,0.048580,0.054367,0.047267,0.050576,0.050576,17201919
2020-10-06,0.050569,0.050802,0.045971,0.046575,0.046575,9195468
2020-10-07,0.046469,0.046692,0.042574,0.045167,0.045167,4512741
2020-10-08,0.045273,0.047716,0.043214,0.047313,0.047313,4111576
2020-10-09,0.047449,0.050340,0.045926,0.049771,0.049771,5442272
2020-10-10,0.049707,0.051443,0.045497,0.045815,0.045815,8302501
2020-10-11,0.045806,0.049629,0.045449,0.048886,0.048886,6287463
2020-10-12,0.048891,0.050484,0.046535,0.047589,0.047589,9049431
2020-10-13,0.047421,0.049109,0.045674,0.046522,0.046522,7175418
2020-10-14,0.046483,0.046989,0.045195,0.045895,0.045895,4333146
2020-10-15,0.045956,0.046236,0.044238,0.045027,0.045027,3469517
2020-10-16,0.045025,0.045025,0.041341,0.043696,0.043696,6499827
2020-10-17,0.043658,0.044268,0.042696,0.043208,0.043208,3089599
2020-10-18,0.043165,0.043543,0.042252,0.042645,0.042645,3675828
2020-10-19,0.042604,0.043830,0.040829,0.040994,0.040994,9861501
2020-10-20,0.040941,0.041681,0.038096,0.038895,0.038895,6422777
2020-10-21,0.038893,0.039606,0.036754,0.038455,0.038455,7487464
2020-10-22,0.038412,0.041610,0.038412,0.039961,0.039961,5926491
2020-10-23,0.039961,0.043009,0.038845,0.039959,0.039959,7686300
2020-10-24,0.039959,0.041938,0.039894,0.040833,0.040833,7253140
2020-10-25,0.040833,0.040921,0.038516,0.039442,0.039442,4518620
2020-10-26,0.039442,0.041466,0.037523,0.037895,0.037895,5312738
2020-10-27,0.037895,0.039003,0.037641,0.037831,0.037831,3301717
2020-10-28,0.037831,0.037832,0.034329,0.035247,0.035247,5711808
2020-10-29,0.035247,0.039218,0.033197,0.037498,0.037498,5808845
2020-10-30,0.037499,0.038551,0.034212,0.035719,0.035719,6489159
2020-10-31,0.035719,0.036645,0.035023,0.035589,0.035589,2617298
2020-11-01,0.035589,0.036143,0.034721,0.035589,0.035589,2634264
2020-11-02,0.035589,0.036171,0.033940,0.035337,0.035337,2991619
2020-11-03,0.035337,0.035337,0.030024,0.030821,0.030821,5485885
2020-11-04,0.030820,0.031825,0.028939,0.031753,0.031753,5062403
2020-11-05,0.031753,0.036538,0.031612,0.034044,0.034044,7300245
2020-11-06,0.034044,0.038210,0.033819,0.037530,0.037530,4042072
2020-11-07,0.037530,0.040854,0.034387,0.036445,0.036445,5673787
2020-11-08,0.036445,0.038559,0.035275,0.038004,0.038004,2845659
2020-11-09,0.038004,0.039527,0.036095,0.037879,0.037879,3595087
2020-11-10,0.037879,0.042377,0.037819,0.041449,0.041449,5296836
2020-11-11,0.041449,0.043917,0.040324,0.042676,0.042676,5591870
2020-11-12,0.042675,0.055580,0.038197,0.038758,0.038758,25502603
2020-11-13,0.038758,0.041584,0.038413,0.039113,0.039113,8806723
2020-11-14,0.039113,0.039774,0.037005,0.038277,0.038277,3938206
2020-11-15,0.038277,0.040614,0.037133,0.037607,0.037607,5817468
2020-11-16,0.037607,0.039160,0.037344,0.038626,0.038626,4673304
2020-11-17,0.038156,0.039029,0.036757,0.037142,0.037142,6001851
2020-11-18,0.037142,0.037529,0.033999,0.035816,0.035816,5642010
2020-11-19,0.035816,0.037195,0.035050,0.036061,0.036061,4918169
2020-11-20,0.036060,0.037644,0.035692,0.036399,0.036399,5103922
2020-11-21,0.036399,0.040171,0.036245,0.040093,0.040093,6259819
2020-11-22,0.040093,0.049401,0.035765,0.045003,0.045003,38156068
2020-11-23,0.045003,0.061355,0.041809,0.047364,0.047364,68649199
2020-11-24,0.047344,0.050000,0.045172,0.045259,0.045259,25078016
2020-11-25,0.045234,0.052157,0.043363,0.045088,0.045088,20737308
2020-11-26,0.045098,0.046102,0.037173,0.041482,0.041482,14280887
2020-11-27,0.041484,0.045941,0.039096,0.045877,0.045877,8848799
2020-11-28,0.045911,0.046484,0.043071,0.044796,0.044796,11230193
2020-11-29,0.044797,0.045596,0.043220,0.045439,0.045439,6065088
2020-11-30,0.045440,0.049296,0.045033,0.048184,0.048184,10022900
2020-12-01,0.048186,0.048295,0.043451,0.045689,0.045689,7295802
2020-12-02,0.045678,0.048506,0.044000,0.046855,0.046855,7346374
2020-12-03,0.046852,0.047516,0.045931,0.046680,0.046680,5036542
2020-12-04,0.046718,0.046797,0.042220,0.042300,0.042300,5229419
2020-12-05,0.042183,0.044157,0.041277,0.043585,0.043585,4583409
2020-12-06,0.043550,0.044897,0.042608,0.043237,0.043237,2894315
2020-12-07,0.043257,0.046820,0.042652,0.045378,0.045378,6147440
2020-12-08,0.045393,0.048952,0.043892,0.044349,0.044349,11274827
2020-12-09,0.044362,0.053936,0.040704,0.051875,0.051875,20516766
2020-12-10,0.052105,0.055884,0.048980,0.052335,0.052335,29366502
2020-12-11,0.052555,0.054027,0.045407,0.045407,0.045407,13502522
2020-12-12,0.045442,0.050109,0.045345,0.047641,0.047641,9268445
2020-12-13,0.047639,0.049375,0.046127,0.048234,0.048234,6147043
2020-12-14,0.048232,0.051855,0.047202,0.049767,0.049767,7410345
2020-12-15,0.049754,0.053346,0.048058,0.052305,0.052305,9935650
2020-12-16,0.052337,0.053539,0.048640,0.051746,0.051746,13221185
2020-12-17,0.051749,0.052337,0.048617,0.048940,0.048940,11058516
2020-12-18,0.048988,0.051753,0.048133,0.051244,0.051244,9097456
2020-12-19,0.051318,0.052721,0.049796,0.051390,0.051390,12698939
2020-12-20,0.051397,0.055698,0.049080,0.049705,0.049705,18345864
2020-12-21,0.049742,0.050941,0.045425,0.047611,0.047611,11071203
2020-12-22,0.047565,0.048600,0.042165,0.046387,0.046387,10724443
2020-12-23,0.046408,0.046579,0.036108,0.038061,0.038061,8383661
2020-12-24,0.038076,0.040265,0.036082,0.040189,0.040189,5047615
2020-12-25,0.040149,0.041786,0.038148,0.038911,0.038911,5000461
2020-12-26,0.038966,0.040232,0.037246,0.037995,0.037995,5458283
2020-12-27,0.038002,0.041656,0.035883,0.039308,0.039308,7349951
2020-12-28,0.039307,0.040875,0.038574,0.038988,0.038988,5676291
2020-12-29,0.038996,0.039738,0.035168,0.037236,0.037236,6896364
2020-12-30,0.037237,0.038231,0.035839,0.036105,0.036105,3758876
2020-12-31,0.036105,0.036331,0.034505,0.035653,0.035653,3364794
2021-01-01,0.035684,0.037918,0.035277,0.037023,0.037023,3923475
2021-01-02,0.037028,0.039309,0.036595,0.038141,0.038141,5491259
2021-01-03,0.038152,0.041426,0.037237,0.040956,0.040956,6793636
2021-01-04,0.041022,0.042418,0.036964,0.040494,0.040494,7083381
2021-01-05,0.040443,0.045012,0.039036,0.041762,0.041762,10831507
2021-01-06,0.041793,0.047608,0.041009,0.044753,0.044753,13596102
2021-01-07,0.044759,0.046199,0.042228,0.043326,0.043326,10414813
2021-01-08,0.043418,0.047013,0.040954,0.043545,0.043545,13302777
2021-01-09,0.043472,0.047181,0.042271,0.046051,0.046051,8255178
2021-01-10,0.046058,0.046641,0.041047,0.042611,0.042611,7576116
2021-01-11,0.042551,0.042551,0.034612,0.040682,0.040682,8207441
2021-01-12,0.040681,0.040819,0.036719,0.037730,0.037730,5026765
2021-01-13,0.037786,0.041198,0.036811,0.040642,0.040642,4997461
2021-01-14,0.040650,0.042044,0.039583,0.040774,0.040774,4939743
2021-01-15,0.040811,0.045830,0.040075,0.044012,0.044012,10476076
2021-01-16,0.044011,0.046641,0.042787,0.043908,0.043908,9332764
2021-01-17,0.043939,0.052655,0.042321,0.051067,0.051067,25398598
2021-01-18,0.051144,0.054469,0.049183,0.052100,0.052100,14156919
2021-01-19,0.052099,0.056984,0.049937,0.054178,0.054178,18747965
2021-01-20,0.054166,0.060480,0.048872,0.053627,0.053627,20442884
2021-01-21,0.053689,0.147631,0.050989,0.108125,0.108125,424777410
2021-01-22,0.108232,0.117998,0.094109,0.108816,0.108816,187029548
2021-01-23,0.109406,0.111211,0.097070,0.101897,0.101897,57718715
2021-01-24,0.101345,0.102204,0.092952,0.094790,0.094790,38803134
2021-01-25,0.095115,0.101558,0.090395,0.092883,0.092883,29079291
2021-01-26,0.092873,0.095424,0.087711,0.093046,0.093046,17840698
2021-01-27,0.093250,0.093475,0.076333,0.081609,0.081609,38112762
2021-01-28,0.081635,0.090233,0.078167,0.088500,0.088500,42899972
2021-01-29,0.091257,0.094066,0.082901,0.087839,0.087839,50599792
2021-01-30,0.087681,0.091022,0.085042,0.087374,0.087374,26203617
2021-01-31,0.087455,0.088424,0.081289,0.082657,0.082657,21891877
2021-02-01,0.082765,0.084727,0.077786,0.082507,0.082507,23641803
2021-02-02,0.082582,0.098597,0.082400,0.095356,0.095356,66802121
2021-02-03,0.095314,0.099687,0.092145,0.097712,0.097712,44160930
2021-02-04,0.097414,0.110505,0.090222,0.099797,0.099797,121182041
2021-02-05,0.099935,0.142921,0.098627,0.141218,0.141218,192354663
2021-02-06,0.140955,0.140955,0.119387,0.128929,0.128929,82336685
2021-02-07,0.128598,0.131759,0.110496,0.126764,0.126764,72170033
2021-02-08,0.126610,0.145832,0.122487,0.138302,0.138302,99619548
2021-02-09,0.139169,0.157812,0.136102,0.150129,0.150129,69208148
2021-02-10,0.149781,0.154633,0.134679,0.145873,0.145873,63522797
2021-02-11,0.145862,0.169469,0.142396,0.158618,0.158618,112181099
2021-02-12,0.158388,0.167096,0.153006,0.162479,0.162479,63012758
2021-02-13,0.162490,0.213621,0.162009,0.205011,0.205011,288830067
2021-02-14,0.204436,0.286024,0.194149,0.263592,0.263592,680733438
2021-02-15,0.263509,0.265956,0.207184,0.239121,0.239121,189931371
2021-02-16,0.239881,0.245530,0.218716,0.231569,0.231569,76988455
2021-02-17,0.231686,0.261727,0.208276,0.242348,0.242348,174081115
2021-02-18,0.241722,0.342429,0.235613,0.320639,0.320639,478342644
2021-02-19,0.322591,0.324129,0.277318,0.310206,0.310206,205176803
2021-02-20,0.310722,0.322787,0.279882,0.296705,0.296705,80687846
2021-02-21,0.296638,0.338227,0.290703,0.320869,0.320869,97433633
2021-02-22,0.321067,0.364493,0.237383,0.294749,0.294749,169312004
2021-02-23,0.294992,0.315817,0.180338,0.240909,0.240909,260326263
2021-02-24,0.239730,0.265616,0.218053,0.248751,0.248751,67736066
2021-02-25,0.248324,0.266396,0.231100,0.234386,0.234386,75563707
2021-02-26,0.235331,0.246505,0.220868,0.236124,0.236124,44020808
2021-02-27,0.236300,0.257079,0.235114,0.244336,0.244336,37690460
2021-02-28,0.244764,0.260450,0.201274,0.217867,0.217867,41280972
2021-03-01,0.218822,0.245678,0.217316,0.239214,0.239214,45640162
2021-03-02,0.239544,0.264290,0.230480,0.250755,0.250755,52593010
2021-03-03,0.251110,0.319547,0.247249,0.311985,0.311985,185731682
2021-03-04,0.310664,0.436309,0.295094,0.364264,0.364264,631611321
2021-03-05,0.364841,0.426519,0.337342,0.352217,0.352217,213232253
2021-03-06,0.351387,0.370898,0.319259,0.346676,0.346676,117142228
2021-03-07,0.346814,0.388459,0.341532,0.382382,0.382382,155982512
