Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,1.099411,4.440884,0.418998,3.470818,3.470818,1762718357
2020-09-18,3.488153,8.438537,3.261757,6.897257,6.897257,6061110198
2020-09-19,6.945577,7.443275,5.321795,5.724464,5.724464,2447471305
2020-09-20,5.720515,6.050326,4.720210,5.244195,5.244195,1554143599
2020-09-21,5.244195,5.622155,4.160743,4.266079,4.266079,1329464490
2020-09-22,4.275014,4.554092,3.755040,3.905138,3.905138,816282684
2020-09-23,3.917944,4.707648,3.916562,4.653265,4.653265,964205457
2020-09-24,4.448576,5.249795,4.448575,5.137266,5.137266,1168427377
2020-09-25,5.160446,5.528679,4.848576,5.012952,5.012952,882242519
2020-09-26,5.011349,5.225045,4.737246,4.805881,4.805881,463707078
2020-09-27,4.802269,5.442522,4.728704,4.780899,4.780899,444099192
2020-09-28,4.781430,4.937265,4.164315,4.187979,4.187979,435788116
2020-09-29,4.187974,4.417395,4.118354,4.417380,4.417380,356399047
2020-09-30,4.448182,4.448672,3.921893,4.013015,4.013015,375777187
2020-10-01,4.014052,4.506503,3.974046,4.259865,4.259865,701098958
2020-10-02,4.261800,4.292221,3.665554,3.785898,3.785898,646428104
2020-10-03,3.783604,4.124612,3.749287,3.791614,3.791614,359042995
2020-10-04,3.797647,3.816088,3.616777,3.668925,3.668925,413697306
2020-10-05,3.668925,3.716208,3.341256,3.419205,3.419205,497456257
2020-10-06,3.416884,3.416884,2.721012,2.834241,2.834241,681166626
2020-10-07,2.842322,2.988667,2.462868,2.800064,2.800064,664950267
2020-10-08,2.797326,3.417100,2.582608,3.270306,3.270306,717724262
2020-10-09,3.285660,3.555273,2.995400,3.097367,3.097367,672751181
2020-10-10,3.081812,3.632204,3.054928,3.331527,3.331527,562610977
2020-10-11,3.331239,3.442175,3.250743,3.387240,3.387240,411091368
2020-10-12,3.379021,3.429043,3.203085,3.260261,3.260261,558369285
2020-10-13,3.261673,3.622660,3.235385,3.497266,3.497266,383311535
2020-10-14,3.500179,3.582452,2.648806,3.082023,3.082023,516845493
2020-10-15,3.077349,3.077410,2.866540,2.906949,2.906949,439092200
2020-10-16,2.908383,3.163355,2.805559,3.034977,3.034977,578856190
2020-10-17,3.037373,3.085675,2.960528,3.000683,3.000683,274343380
2020-10-18,2.995080,3.276799,2.982761,3.266859,3.266859,270238697
2020-10-19,3.274675,3.281866,3.128738,3.177664,3.177664,353126948
2020-10-20,3.173583,3.181297,2.821474,2.869800,2.869800,542347476
2020-10-21,2.861897,3.065714,2.850831,2.941374,2.941374,641102100
2020-10-22,2.940848,3.139806,2.930286,3.039450,3.039450,490414767
2020-10-23,3.044073,3.120281,2.974443,3.012190,3.012190,340365373
2020-10-24,3.012190,3.083292,2.937710,2.943257,2.943257,228726426
2020-10-25,2.943257,2.966797,2.729939,2.775747,2.775747,280177013
2020-10-26,2.775747,2.868153,2.550701,2.725903,2.725903,402513710
2020-10-27,2.725903,2.900549,2.710788,2.822399,2.822399,374717069
2020-10-28,2.822399,2.850340,2.599362,2.676116,2.676116,382606652
2020-10-29,2.676116,2.734569,2.494090,2.541616,2.541616,452924614
2020-10-30,2.541617,2.554729,2.265245,2.414168,2.414168,407724693
2020-10-31,2.414168,2.414168,2.251597,2.266428,2.266428,195366723
2020-11-01,2.266428,2.433622,2.227458,2.379305,2.379305,189355187
2020-11-02,2.379305,2.440835,2.243257,2.254260,2.254260,267321819
2020-11-03,2.254260,2.281023,2.065942,2.134319,2.134319,249641515
2020-11-04,2.134325,2.160387,1.888973,1.930119,1.930119,339588343
2020-11-05,1.930123,2.401617,1.763817,2.206129,2.206129,513013238
2020-11-06,2.206116,2.677881,2.182031,2.550795,2.550795,584436650
2020-11-07,2.550795,2.995858,2.448126,2.466497,2.466497,771051235
2020-11-08,2.466497,2.885370,2.442557,2.848617,2.848617,478996897
2020-11-09,2.848617,2.852006,2.586286,2.676863,2.676863,486394678
2020-11-10,2.676864,3.103295,2.640133,3.007544,3.007544,514331154
2020-11-11,3.007544,3.149896,2.877065,2.912375,2.912375,525551143
2020-11-12,2.912375,3.081581,2.827266,2.930142,2.930142,538966370
2020-11-13,2.930142,3.961350,2.906121,3.879659,3.879659,765960347
2020-11-14,3.879659,3.953746,3.534731,3.809107,3.809107,774643440
2020-11-15,3.809107,4.236023,3.634849,3.862007,3.862007,742520518
2020-11-16,3.862007,3.932907,3.459238,3.604012,3.604012,739416980
2020-11-17,3.759261,3.848436,3.485387,3.803481,3.803481,753340390
2020-11-18,3.803454,3.847406,3.288325,3.463665,3.463665,855595852
2020-11-19,3.463680,3.884875,3.247508,3.733060,3.733060,690972294
