Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,4.506940,5.223860,4.466930,4.906080,4.906080,20982300
2017-11-10,4.919600,5.027310,4.086990,4.237820,4.237820,14425500
2017-11-11,4.228150,4.463110,4.043360,4.118370,4.118370,12304600
2017-11-12,4.102500,4.131480,3.570480,3.696470,3.696470,12279900
2017-11-13,3.693680,4.479440,3.693680,4.396100,4.396100,12493200
2017-11-14,4.396020,5.090320,4.380270,5.033470,5.033470,19374900
2017-11-15,5.052690,5.267480,4.801270,5.046010,5.046010,25851400
2017-11-16,5.065040,5.101120,4.705450,4.756230,4.756230,24087100
2017-11-17,4.745920,4.969590,4.611930,4.777700,4.777700,18777000
2017-11-18,4.765450,5.419240,4.649990,5.297760,5.297760,26020400
2017-11-19,5.282780,5.472480,5.017780,5.122120,5.122120,20869400
2017-11-20,5.125810,5.418020,5.058020,5.273120,5.273120,22272000
2017-11-21,5.256160,5.283000,4.986010,5.187240,5.187240,23353900
2017-11-22,5.198340,5.570000,5.162490,5.293980,5.293980,26343100
2017-11-23,5.294350,5.343300,5.178940,5.189660,5.189660,21305100
2017-11-24,5.191000,5.269330,5.030010,5.228390,5.228390,22424900
2017-11-25,5.215310,5.370830,5.130280,5.349000,5.349000,20520600
2017-11-26,5.359810,5.793480,5.349480,5.684920,5.684920,25667300
2017-11-27,5.671620,5.777920,5.480370,5.654040,5.654040,25029600
2017-11-28,5.623740,5.929320,5.556260,5.929320,5.929320,26201500
2017-11-29,5.909600,6.158350,4.970290,5.166660,5.166660,30996500
2017-11-30,5.232390,5.325040,4.392260,4.879030,4.879030,25549500
2017-12-01,4.839390,5.804750,4.610730,5.804750,5.804750,26090100
2017-12-02,5.793540,6.432700,5.747680,6.111300,6.111300,30325700
2017-12-03,6.094490,6.598980,5.844750,6.198720,6.198720,33036700
2017-12-04,6.205580,6.689900,6.033400,6.689900,6.689900,30419300
2017-12-05,6.687400,7.678090,6.622140,7.426010,7.426010,40875800
2017-12-06,7.383470,8.433770,6.930290,8.433770,8.433770,52074900
2017-12-07,8.521360,9.503090,8.011090,8.515790,8.515790,61751500
2017-12-08,8.714060,8.729480,7.431230,8.395580,8.395580,45781100
2017-12-09,8.412120,9.872160,7.863390,8.721460,8.721460,47394900
2017-12-10,8.755850,10.455100,7.595500,9.761560,9.761560,57336900
2017-12-11,9.728640,11.331900,9.648950,11.222400,11.222400,74140496
2017-12-12,11.228600,15.199900,10.886700,14.864200,14.864200,103848000
2017-12-13,15.233800,15.624300,13.501600,13.647000,13.647000,75995504
2017-12-14,13.555600,14.019700,12.431200,13.638300,13.638300,55002000
2017-12-15,13.546200,14.076500,11.759100,13.086400,13.086400,95357504
2017-12-16,13.555300,13.734800,12.805900,13.402000,13.402000,69311000
2017-12-17,13.392000,14.161600,13.166300,13.535900,13.535900,64376200
2017-12-18,13.631600,15.719600,13.092500,15.608900,15.608900,102357000
2017-12-19,15.633400,18.073400,14.510500,15.887200,15.887200,114641000
